Date,GBP= (BID)
,Close
27/2/2006,1.7544
20/2/2006,1.7447
13/2/2006,1.7415
06/2/2006,1.744
30/1/2006,1.7623
23/1/2006,1.7675
16/1/2006,1.7706
09/1/2006,1.7753
02/1/2006,1.7699
26/12/2005,1.7211
19/12/2005,1.7341
12/12/2005,1.772
05/12/2005,1.755
28/11/2005,1.7334
21/11/2005,1.7141
14/11/2005,1.7166
07/11/2005,1.7415
31/10/2005,1.7503
24/10/2005,1.7723
17/10/2005,1.7685
10/10/2005,1.7684
03/10/2005,1.7602
26/9/2005,1.7637
19/9/2005,1.7756
12/9/2005,1.8079
05/9/2005,1.8392
29/8/2005,1.8419
22/8/2005,1.7996
15/8/2005,1.7949
08/8/2005,1.814
01/8/2005,1.7785
25/7/2005,1.7564
18/7/2005,1.74
11/7/2005,1.7513
04/7/2005,1.7383
27/6/2005,1.7682
20/6/2005,1.8234
13/6/2005,1.8304
06/6/2005,1.8107
30/5/2005,1.8148
23/5/2005,1.8243
16/5/2005,1.8271
09/5/2005,1.8481
02/5/2005,1.8902
25/4/2005,1.9077
18/4/2005,1.9155
11/4/2005,1.8931
04/4/2005,1.885
28/3/2005,1.8811
21/3/2005,1.8696
14/3/2005,1.921
07/3/2005,1.9246
28/2/2005,1.9235
21/2/2005,1.9185
14/2/2005,1.8944
07/2/2005,1.8672
31/1/2005,1.8754
24/1/2005,1.8879
17/1/2005,1.8784
10/1/2005,1.8703
03/1/2005,1.8694
27/12/2004,1.9184
20/12/2004,1.924
13/12/2004,1.9418
06/12/2004,1.9151
29/11/2004,1.9433
22/11/2004,1.8942
15/11/2004,1.8571
08/11/2004,1.8565
01/11/2004,1.8556
25/10/2004,1.8377
18/10/2004,1.8262
11/10/2004,1.804
04/10/2004,1.7945
27/9/2004,1.7989
20/9/2004,1.8044
13/9/2004,1.7922
06/9/2004,1.7977
30/8/2004,1.7754
23/8/2004,1.791
16/8/2004,1.8196
09/8/2004,1.8459
02/8/2004,1.8402
26/7/2004,1.8198
19/7/2004,1.8324
12/7/2004,1.8723
05/7/2004,1.8593
28/6/2004,1.8306
